route_id,region_id,street_edge_id,way_type,geom
,5,296,residential,0102000020E610000005000000174850FC18975EC008BCDDDCA9D247400CEB217516975EC048E7B287ACD24740831E204E16975EC035289A07B0D247406C802D0A16975EC066AABB0DC5D24740603134E815975EC00E74A37ECDD24740
,14,377,secondary,0102000020E610000003000000A8740BB842F855C053D048DFFF0F4540E461461D42F855C0D50F45DCF70F4540DFECC50641F855C0FA02C46EE90F4540
,17,381,tertiary,0102000020E6100000060000007F6C921FF1E755C08237A45181D24440CFF3A78DEAE755C0E772DE5A81D24440C7606AF0E3E755C04DAE186481D244401E66D421DCE755C0DC68006F81D24440D1217024D0E755C07C60C77F81D244409E7F16A6CAE755C0B81C548781D24440
,17,382,tertiary,0102000020E610000002000000819EBC7EF7E755C02301593E81D244407F6C921FF1E755C08237A45181D24440
,16,385,primary,0102000020E6100000030000003AE97DE36BFD55C070719EFBBC044540FB986AC166FD55C00A647616BD044540C487C89F5EFD55C0B18E3E41BD044540
,16,398,primary,0102000020E6100000020000000E16A98B6FFD55C0103B53E8BC0445403AE97DE36BFD55C070719EFBBC044540
,16,399,primary,0102000020E6100000070000009F2A95A677FD55C0E2A5400BAE044540ED6BB82377FD55C02001ED58B60445404613DED476FD55C0D277126CB704454005B1225976FD55C07EBB3665B8044540F961293776FD55C02A1900AAB8044540A11FFC7A74FD55C041DFCC9EBA044540A97812C770FD55C070010DDBBB044540
,11,402,secondary,0102000020E61000000200000073631F09A0EE55C09D5AC7027001454007F5E3E59FEE55C01E4A592B7F014540
,13,404,secondary,0102000020E610000004000000DB711EA999EE55C04069A85148034540A6A3778599EE55C002AFE0C84D034540D527147D99EE55C0F4C6A41A51034540DB15FA6099EE55C089BD06335C034540
,13,406,secondary,0102000020E61000000200000018A2F952AEEE55C042C9891B5C0345409DDA745FA9EE55C0BF4692205C034540
,13,413,secondary,0102000020E610000003000000235BA7DBA3EE55C03CC49A255C03454006459847A3EE55C03CC49A255C03454075E8F4BC9BEE55C04E017A2B5C034540
,13,414,secondary,0102000020E6100000040000009DDA745FA9EE55C0BF4692205C0345405DF11EB1A7EE55C0E9C53F225C034540B8D2C66CA4EE55C03CC49A255C034540235BA7DBA3EE55C03CC49A255C034540
,12,417,secondary,0102000020E610000002000000EE98BA2BBBEC55C02B757FAB2BD244401E7C17A5BAEC55C0F02202C413D24440
,12,418,secondary,0102000020E610000002000000CF1DB3A2BCEC55C095D39E9273D244405E7C7665BCEC55C08A50B69267D24440
,12,419,secondary,0102000020E6100000020000000B53A577BBEC55C09BFF571D39D24440EE98BA2BBBEC55C02B757FAB2BD24440
,12,421,secondary,0102000020E6100000020000001E7C17A5BAEC55C0F02202C413D24440537B6C26BAEC55C096557D53FDD14440
,12,424,secondary,0102000020E6100000030000005E7C7665BCEC55C08A50B69267D244401DA4F155BCEC55C055D39A8B64D244400B53A577BBEC55C09BFF571D39D24440
,14,427,secondary,0102000020E610000002000000ADE75A6AF3F655C07588C965ED0E454084239232F3F655C0173C9688010F4540
,14,432,secondary,0102000020E610000003000000C80160E149F855C0343D72B55F104540A5A1462149F855C0744B61945610454022AC21CC48F855C005D0398952104540
,14,433,secondary,0102000020E61000000300000022AC21CC48F855C005D03989521045408E90268348F855C079DF42684E1045401DDB7C6D47F855C0FE840E153E104540
,14,434,secondary,0102000020E6100000050000001DDB7C6D47F855C0FE840E153E1045405FB69DB646F855C09297906A331045409BEB8F8B45F855C0954AD3FB211045402B22799D43F855C0C46059C40B104540A8740BB842F855C053D048DFFF0F4540
,13,437,secondary,0102000020E61000000700000075E8F4BC9BEE55C04E017A2B5C034540A4B1ACEA9BEE55C0A7E7DD58500345400AEDE6F39BEE55C0D82F33C74D03454092D0F12C9CEE55C0E023ACD73E034540A497079F9CEE55C07E9873DF20034540B65E1D119DEE55C02E782C1103034540B5E8537D9DEE55C0CBE6BBA5E6024540
,13,438,secondary,0102000020E610000002000000DB15FA6099EE55C089BD06335C03454075E8F4BC9BEE55C04E017A2B5C034540
